P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C1(=CC=C[C@H](O)[C@H]1O)C(=O)O	R01505	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C1(=CC=CC(O)=C1O)C(=O)O
O=O.C1(=CC=CC(O)=C1O)C(=O)O	R01506	C(/C(=O)O)(\C(=O)O)=C\C=C/C(=O)O
O=O.C1(=CC=CC(O)=C1O)C(=O)O	R01507	C(/C(=O)O)(\C=C/C=O)=C(/O)\C(=O)O
O([H])[H].P(=O)(O)(O)OC[C@@H](O)C(=O)O	R01511	P(=O)(O)(O)O.[C@@H](O)(CO)C(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.P(=O)(O)(O)OC[C@@H](O)C(=O)O	R01512	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.P(=O)(O)(O)OC(=O)[C@H](O)COP(=O)(O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.P(=O)(O)(O)OC[C@@H](O)C(=O)O	R01513	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.P(=O)(O)(O)OCC(=O)C(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@@H](O)(CO)C(=O)O	R01514	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.P(=O)(O)(O)OC[C@@H](O)C(=O)O
O([H])[H].P(=O)(O)(O)OC(=O)[C@H](O)COP(=O)(O)O	R01515	P(=O)(O)(O)O.P(=O)(O)(O)OC[C@@H](O)C(=O)O
N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.P(=O)(O)(O)OC[C@@H](O)C(=O)O	R01517	N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.P(=O)(O)(O)OC(=O)[C@H](O)COP(=O)(O)O
P(=O)(O)(O)O[C@H](CO)C(=O)O	R01518	P(=O)(O)(O)OC[C@@H](O)C(=O)O
O([H])[H].[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)=O	R01519	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@H]1(CO)O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)O	R01520	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)=O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(CO)O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)O	R01521	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)=O
O=O.[C@H]1(CO)O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)O	R01522	OO.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O	R01523	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.O(P(O)(=O)O)C[C@@H](O)[C@@H](O)C(=O)COP(O)(=O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@H](O)([C@@H](O)CO)[C@H](O)COP(=O)(O)O	R01524	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H](O)([C@@H](O)CO)[C@H](O)COP(=O)(O)O	R01525	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.C1(O)(CO)OC[C@@H](O)[C@H]1O |w:0,a:6,8|	R01526	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(OP(O)(=O)O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O	R01528	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)=O.[C@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O
[C@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O	R01529	[C@@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O
C(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(=O)O	R01530	[C@H](O)(C(=O)CO)[C@H](O)COP(=O)(O)O
O([H])[H].P(F)(=O)(OC(C)C)OC(C)C	R01533	P(=O)(O)(OC(C)C)OC(C)C.F
C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O.C(C/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C	R01535	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.C(C/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O1)/C)/C)/C)/C)/C)/C)/C)/C)/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O	R01538	O([H])[H].C(O)[C@@H](O)[C@@H](O)CC(=O)C(=O)O
[C@H](O)([C@H](O)C(O)=O)[C@H](O)[C@H](O)CO	R01540	O([H])[H].C(O)[C@@H](O)[C@@H](O)CC(=O)C(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.C(O)[C@@H](O)[C@@H](O)CC(=O)C(=O)O	R01541	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.O(P(O)(=O)O)C[C@@H](O)[C@@H](O)CC(=O)C(=O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C(O)[C@@H](O)[C@@H](O)CC(=O)C(=O)O	R01542	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@@H](O)(C(=O)CO)CC(=O)C(=O)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(O)[C@@H](O)[C@@H](O)CC(=O)C(=O)O	R01543	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@H](O)([C@H](O)C=O)CC(=O)C(=O)O
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](N)C(=O)O	R01544	N([H])([H])[H].C(O)[C@@H](O)[C@@H](O)CC(=O)C(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1C[C@@H]([C@@H](COP(=O)(O)O)O1)O	R01547	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
[C@@H]1([C@H](O)[C@@H]([C@@H](CO)O1)O)N1C=CC(N)=NC1=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R01548	[C@H]1(COP(O)(=O)O)O[C@@H](N2C=CC(N)=NC2=O)[C@H](O)[C@@H]1O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
[C@@H]1([C@H](O)[C@@H]([C@@H](CO)O1)O)N1C=CC(=O)NC1=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R01549	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O
[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)(C)C	R01550	[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(O)(C)C
C(O)(C)(C)C#N	R01553	C(#N)[H].C(=O)(C)C
P(=O)(O)(O)O.[C@@H]1([C@H](O)[C@H](C(O)O[C@@H]1CO)O)O[C@@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O |a:0,1,3,7,12,13,15,16,18,w:4|	R01555	[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|.[C@H]1(OP(=O)(O)O)[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O.[C@@H]1([C@H](O)[C@H](C(O)O[C@@H]1CO)O)O[C@@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O |a:0,1,3,7,12,13,15,16,18,w:4|	R01556	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.[C@@H]1([C@H](O)[C@H](C(O)O[C@@H]1CO)O)O[C@@H]1[C@H](O)[C@H]([C@H](O)[C@@H](COC(=O)C)O1)O |a:0,1,3,7,12,13,15,16,18,w:4|
[C@@H]1([C@H](O)[C@H](C(O)O[C@@H]1CO)O)O[C@@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O |a:0,1,3,7,12,13,15,16,18,w:4|	R01557	[C@H]1([C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O)O[C@@H]1[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C(=O)(O)C(=O)O	R01558	P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.C(=O)(O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C(CC(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O.C(=O)(O)C(=O)O	R01559	OC(=O)CCC(=O)O.C(=O)(O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O	R01560	N([H])([H])[H].N1(C=NC2C(=O)NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O
P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O	R01561	C12N=CNC=1N=CN=C2N.[C@H]1(OP(=O)(O)O)O[C@@H]([C@@H](O)[C@H]1O)CO
O([H])[H].[C@@H]1(N2C=NC3=C(N)N=CN=C23)O[C@@H]([C@@H](OP(=O)(O)O)[C@H]1O)CO	R01562	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O
O([H])[H].C(=O)(N)N(C)CC(O)=O	R01563	N([H])([H])[H].C(=O)=O.C(NC)C(O)=O
O([H])[H].O=O.C(O)(=O)CN(C)C	R01564	OO.C(NC)C(O)=O.C=O
O([H])[H].NC(=N)N(C)CC(=O)O	R01566	C(NC)C(O)=O.C(=O)(N)N
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(N2C=C(C(=O)NC2=O)C)C[C@@H]([C@@H](CO)O1)O	R01567	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)O)O1)O)N1C=C(C(=O)NC1=O)C
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(N2C=C(C(=O)NC2=O)C)C[C@@H]([C@@H](CO)O1)O	R01568	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)O)O1)O)N1C=C(C(=O)NC1=O)C
O([H])[H].[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)O)O1)O)N1C=C(C(=O)NC1=O)C	R01569	P(=O)(O)(O)O.[C@H]1(N2C=C(C(=O)NC2=O)C)C[C@@H]([C@@H](CO)O1)O
P(=O)(O)(O)O.[C@H]1(N2C=C(C(=O)NC2=O)C)C[C@@H]([C@@H](CO)O1)O	R01570	C1(=O)NC(NC=C1C)=O.[C@@H]1(OP(=O)(O)O)C[C@@H]([C@@H](CO)O1)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.[C@H]1(N2C=C(C(=O)NC2=O)C)C[C@@H]([C@@H](CO)O1)O	R01571	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](CO)O1)O.[C@@H]1(C[C@@H]([C@@H](COP(=O)(O)O)O1)O)N1C=C(C(=O)NC1=O)C
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@@H]1(O)[C@H](O)COC(O)[C@H]1O |a:0,2,8,w:6|	R01573	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.C(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(=O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@@H]1(O)[C@H](O)COC(O)[C@H]1O |a:0,2,8,w:6|	R01574	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@H]1(CO)OC([C@@H](O)[C@@H]1O)=O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@H]1(O)[C@H](O)COC(O)[C@H]1O |a:0,2,8,w:6|	R01575	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(CO)OC([C@@H](O)[C@@H]1O)=O
C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CC(C(=O)O)=O	R01576	CC(=O)C(=O)O.[C@@H]1(O)[C@H](O)COC(O)[C@H]1O |a:0,2,8,w:6|
[C@@H]1(O)[C@H](O)COC(O)[C@H]1O |a:0,2,8,w:6|	R01577	C1(O)(CO)OC[C@@H](O)[C@H]1O |w:0,a:6,8|
O([H])[H].[C@H](N)(C(=O)O)CCC(=O)N	R01579	N([H])([H])[H].[C@H](N)(C(=O)O)CCC(=O)O
C(=O)(C(=O)O)CCC(O)=O.C1(COP(=O)(O)O)=CN=C(C)C(O)=C1CN	R01580	C1(COP(=O)(O)O)=CN=C(C)C(O)=C1C=O.[C@H](N)(C(=O)O)CCC(=O)O
C(=O)(C(=O)O)CCC(O)=O.C1(C=CC=CC=1)C[C@@H](N)C(=O)O	R01582	[C@H](N)(C(=O)O)CCC(=O)O.C1(CC(=O)C(=O)O)C=CC=CC=1
[C@H](N)(C(=O)O)CCC(=O)O	R01583	O([H])[H].[C@H]1(C(=O)O)CCC(=O)N1
O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C[C@H](NC)C(=O)O	R01584	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.CC(=O)C(=O)O.CN
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@@H](N)(C(=O)O)CCC(=O)O.CN	R01585	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.CNC(=O)CC[C@H](N)C(=O)O
[C@@H](N)(C(=O)O)CCC(=O)O.CN	R01586	N([H])([H])[H].OC(=O)CC[C@H](NC)C(=O)O
O([H])[H].OC(=O)C(=O)CCC(=O)NC	R01587	C(=O)(C(=O)O)CCC(O)=O.CN
O([H])[H].C(=N)(N)NC	R01589	C(=O)(N)N.CN
O=O.C(/C/C=C\CCCC(=O)O)=C/C/C=C\C/C=C\CCCCC	R01590	[C@H]1(/C=C/[C@@H](OO)CCCCC)[C@@H]2OO[C@@H](C2)[C@@H]1C/C=C\CCCC(=O)O
O=O.C(/C/C=C\CCCC(=O)O)=C/C/C=C\C/C=C\CCCCC	R01593	[C@H](OO)(CCCCC)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O
O=O.C(/C/C=C\CCCC(=O)O)=C/C/C=C\C/C=C\CCCCC	R01594	C(/CCCC(=O)O)=C/C[C@@H](OO)/C=C/C=C\C/C=C\CCCCC
O=O.C(/C/C=C\CCCC(=O)O)=C/C/C=C\C/C=C\CCCCC	R01595	[C@H](OO)(CCCC(=O)O)/C=C/C=C\C/C=C\C/C=C\CCCCC
O=O.C(/C/C=C\CCCC(=O)O)=C/C/C=C\C/C=C\CCCCC	R01596	C(=C/[C@@H](OO)C/C=C\CCCCC)\C=C/C/C=C\CCCC(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C(/C/C=C\CCCC(=O)O)=C/C/C=C\C/C=C\CCCCC	R01598	P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.C(CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(CO)O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)O	R01600	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.P(=O)(O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)O
[C@H]1(CO)O[C@@H]([C@H](O)[C@@H](O)[C@@H]1O)O	R01602	[C@H]1(CO)O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)O
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C(C=O)C(=O)O	R01604	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.OC(=O)CC(=O)O
