OP(=O)(O)OP(=O)(O)O.O	R00004	OP(=O)(O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O	R00179	CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1CC1(C(=O)O)N
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O	R00180	CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1COC(=O)C1N
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O	R00181	N.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CNC3=O)O1)O)O)OP(=O)(O)O
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O	R00182	C1=NC2=C(N1)N=CN=C2N.C([C@@H]1[C@H]([C@H](C(O)O1)O)O)OP(=O)(O)O
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O	R00183	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)O
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](N5C=NC6=C5N=CN=C6N)O4)O)O	R00184	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)O	R00185	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](N5C=NC6=C5N=CN=C6N)O4)O)O	R00187	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)OP(=O)(O)O	R00188	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O
OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O	R00190	C1=NC2=C(N1)N=CN=C2N.C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O
O.C1[C@@H]2[C@H]([C@H]([C@H](N3C=NC4=C3N=CN=C4N)O2)O)OP(=O)(O)O1	R00191	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O
O.C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N	R00192	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)O.C(CS)[C@@H](C(=O)O)N
O.C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N	R00193	N.C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C(N=CN=C32)O)O1)O)O)[C@@H](C(=O)O)N
O.C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N	R00194	C1=NC2=C(N1)N=CN=C2N.C(CSC[C@@H]1[C@H]([C@H](C(O)O1)O)O)[C@@H](C(=O)O)N
O.C(C(C(=O)O)N)N	R00195	N.CC(=O)C(=O)O
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CC(=O)C(=O)O	R00199	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C=C(C(=O)O)OP(=O)(O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CC(=O)C(=O)O	R00200	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C=C(C(=O)O)OP(=O)(O)O
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC(=O)C=O	R00203	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC(=O)C(=O)O
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC(=O)C=O	R00205	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC(=O)C(=O)O
OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CC(=O)C(=O)O	R00206	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C=C(C(=O)O)OP(=O)(O)O
OP(=O)(O)O.O=O.CC(=O)C(=O)O	R00207	OO.C(=O)=O.CC(=O)OP(=O)(O)O
O.C=C(C(=O)O)OP(=O)(O)O	R00208	OP(=O)(O)O.CC(=O)C(=O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.[OH-].CC(=O)C(=O)O	R00210	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(=O)=O.CC(=O)[O-]
O=O.[OH-].CC(=O)C(=O)O	R00211	OO.C(=O)=O.CC(=O)[O-]
C(=O)O.CC(=O)[O-]	R00212	[OH-].CC(=O)C(=O)O
O.C([C@@H](C(=O)O)N)OC(=O)N	R00213	N.C(=O)=O.CC(=O)C(=O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@@H](C(=O)O)O)C(=O)O	R00214	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(=O)=O.CC(=O)C(=O)O
