OP(=O)(O)OP(=O)(O)O.O	R00004	OP(=O)(O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@H](C(=O)O)O)C(=O)O	R00215	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(=O)=O.CC(=O)C(=O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C([C@@H](C(=O)O)O)C(=O)O	R00216	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(=O)=O.CC(=O)C(=O)O
O.C(#CC(=O)O)C(=O)O	R00218	C(=O)=O.CC(=O)C(=O)O
C(=O)=O.CC(=O)C(=O)O	R00219	C(=C(\C(=O)O)/O)/C(=O)O
C([C@@H](C(=O)O)N)O	R00220	N.CC(=O)C(=O)O
C([C@H](C(=O)O)N)O	R00221	N.CC(=O)C(=O)O
C(C(C(=O)O)N)O	R00223	N.CC(=O)C(=O)O
CC(=O)C(=O)O	R00224	CC=O.C(=O)=O
O.CC(=O)[O-]	R00227	[OH-].CC(=O)O
CC=O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.[OH-]	R00228	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC(=O)[O-]
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.[OH-].CC(=O)O	R00229	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.CC(=O)[O-]
OP(=O)(O)O.CC(=O)[O-]	R00230	[OH-].CC(=O)OP(=O)(O)O
C(C(=O)O)C(=O)[O-]	R00233	C(=O)=O.CC(=O)[O-]
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.[OH-].CC(=O)O	R00235	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.CC(=O)[O-]
[OH-].CC(=O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O	R00236	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.CC(=O)[O-]
C[C@](CC(=O)[O-])(C(=O)O)O	R00237	CC(=O)C(=O)O.CC(=O)[O-]
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)O)[C@@H](C(=O)O)N	R00239	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)OP(=O)(O)O)[C@@H](C(=O)O)N
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(CC(=O)O)[C@@H](C(=O)O)N	R00243	[H+].N.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(CC(=O)O)C(=O)C(=O)O
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(C[C@@H](C(=O)O)N)C=O	R00245	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(CC(=O)O)[C@@H](C(=O)O)N
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(CC(=O)O)[C@@H](C(=O)O)N	R00248	[H+].N.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(CC(=O)O)C(=O)C(=O)O
O.O=O.C(CC(=O)O)[C@@H](C(=O)O)N	R00250	OO.N.C(CC(=O)O)C(=O)C(=O)O
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C1CC(=O)N[C@@H]1C(=O)O	R00251	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)O)[C@@H](C(=O)O)N
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.N.C(CC(=O)O)[C@@H](C(=O)O)N	R00253	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)N)[C@@H](C(=O)O)N
N.C(=O)=O.C(CC(=O)O)[C@@H](C(=O)O)N	R00254	O.C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(CC(=O)N)[C@@H](C(=O)O)N.C1=C[N+](=CC(=C1)C(=O)O)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O	R00257	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(CC(=O)O)[C@@H](C(=O)O)N
C(CC(=O)O)C(=O)C(=O)O.C[C@@H](C(=O)O)N	R00258	CC(=O)C(=O)O.C(CC(=O)O)[C@@H](C(=O)O)N
CC(=O)[O-].C(CC(=O)O)[C@@H](C(=O)O)N	R00259	[OH-].CC(=O)N[C@@H](CCC(=O)O)C(=O)O
C(CC(=O)O)[C@@H](C(=O)O)N	R00260	C(CC(=O)O)[C@H](C(=O)O)N
C(CC(=O)O)[C@@H](C(=O)O)N	R00261	C(=O)=O.C(CC(=O)O)CN
C[C@@H]([C@@H](C(=O)O)N)C(=O)O	R00262	C(CC(=O)O)[C@@H](C(=O)O)N
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(CC(=O)C(=O)O)C=O	R00264	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(CC(=O)O)C(=O)C(=O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.[OH-].C(CC(=O)O)C(=O)C(=O)O	R00265	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(=O)=O.C(CC(=O)[O-])C(=O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(C(C(C(=O)O)O)C(=O)O)C(=O)O	R00267	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(=O)=O.C(CC(=O)O)C(=O)C(=O)O
C(C(C(=O)C(=O)O)C(=O)O)C(=O)O	R00268	C(=O)=O.C(CC(=O)O)C(=O)C(=O)O
O.C(CC(=O)N)C(=O)C(=O)O	R00269	N.C(CC(=O)O)C(=O)C(=O)O
O.CC(=O)[O-].C(CC(=O)O)C(=O)C(=O)O	R00271	[OH-].C(C[C@@](CC(=O)O)(C(=O)O)O)C(=O)O
C(CC(=O)O)C(=O)C(=O)O	R00272	C(=O)=O.C(CC(=O)O)C=O
[H+].[O-][O]	R00275	OO.O=O
O.O=O.CC1=C(C(=C(C=N1)COP(=O)(O)O)CN)O	R00277	OO.N.CC1=C(C(=C(C=N1)COP(=O)(O)O)C=O)O
O=O.CC1=C(C(=C(C=N1)COP(=O)(O)O)CO)O	R00278	OO.CC1=C(C(=C(C=N1)COP(=O)(O)O)C=O)O
O.O=O.C(CC(=O)O)[C@H](C(=O)O)N	R00279	OO.N.C(CC(=O)O)C(=O)C(=O)O
O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O	R00287	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O2)O)O)C(=O)NC1=O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O	R00289	OP(=O)(O)OP(=O)(O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O	R00291	C1=CN(C2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O	R00293	O.C[C@@H]1C(=O)[C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=CC(=O)NC3=O)O2)O)O)O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O	R00299	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)OP(=O)(O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O	R00300	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O	R00301	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(C([C@@H]1[C@@H]([C@H](C(=O)O1)O)O)O)O
O=O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O	R00302	OO.C([C@@H]1[C@H]([C@@H](C(=O)[C@H](O)O1)O)O)O
O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)OP(=O)(O)O	R00303	OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O
O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O	R00304	OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O
C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O	R00307	C([C@@H]1[C@H]([C@@H](C(CO)(O)O1)O)O)O
C=CC1=C2C=C3C(=C(C=C)C(=N3)C=C4C(=C(CCC(=O)O)C(=CC5=NC(=CC(=C1C)N2)C(=C5CCC(=O)O)C)N4)C)C.[Fe+2]	R00310	[H+].C=CC1=C(C)C2=CC3=C(C=C)C(=C4C=C5C(=C(CCC(=O)O)C(=N5)C=C6C(=C(C)C(=CC1=N2)N6[Fe]N43)CCC(=O)O)C)C
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CC(=O)O	R00315	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.CC(=O)OP(=O)(O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CC(=O)O	R00316	OP(=O)(O)OP(=O)(O)O.CC(=O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O
O.CC(=O)OP(=O)(O)O	R00317	OP(=O)(O)O.CC(=O)O
O.C(C(=O)O)P(=O)(O)O	R00318	OP(=O)(O)O.CC(=O)O
O=O.C[C@@H](C(=O)O)O	R00319	O.C(=O)=O.CC(=O)O
OP(=O)(O)OP(=O)(O)O.CC(=O)O	R00320	OP(=O)(O)O.CC(=O)OP(=O)(O)O
O.CC(=O)N	R00321	N.CC(=O)O
O.CC(=O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O	R00322	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.CC(=O)O
O.CC(=O)CC(=O)C(=O)O	R00324	CC(=O)C(=O)O.CC(=O)O
C[C@](CC(=O)O)(C(=O)O)O	R00325	CC(=O)C(=O)O.CC(=O)O
O.CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O)O1)O)O)O	R00327	CC(=O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O	R00328	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O	R00330	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)O	R00332	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O
O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)OP(=O)(O)OP(=O)(O)O)OP(=O)(O)OP(=O)(O)O	R00336	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O
O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H](C(N3C=NC4=C3N=C(N)NC4=O)O2)O)O)O)O)O)O	R00337	C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O
O.C(C(=O)C(=O)O)C(=O)O	R00338	CC(=O)O.C(=O)(C(=O)O)O
[C@@H]([C@H](C(=O)O)O)(C(=O)O)O	R00339	O.C(C(=O)C(=O)O)C(=O)O
[C@H]([C@@H](C(=O)O)O)(C(=O)O)O	R00340	O.C(C(=O)C(=O)O)C(=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(C(=O)C(=O)O)C(=O)O	R00341	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(=O)=O.C=C(C(=O)O)OP(=O)(O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C([C@@H](C(=O)O)O)C(=O)O	R00342	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(C(=O)C(=O)O)C(=O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C([C@@H](C(=O)O)O)C(=O)O	R00343	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C(C(=O)C(=O)O)C(=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C(=O)(O)[O-].CC(=O)C(=O)O	R00344	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.C(C(=O)C(=O)O)C(=O)O
OP(=O)(O)O.C(C(=O)C(=O)O)C(=O)O	R00345	O.C(=O)=O.C=C(C(=O)O)OP(=O)(O)O
OP(=O)(O)OP(=O)(O)O.C(C(=O)C(=O)O)C(=O)O	R00346	OP(=O)(O)O.C(=O)=O.C=C(C(=O)O)OP(=O)(O)O
[C@H]([C@H](C(=O)O)O)(C(=O)O)N	R00347	N.C(C(=O)C(=O)O)C(=O)O
O.C(C(=O)C(=O)O)C(=O)N	R00348	N.C(C(=O)C(=O)O)C(=O)O
C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O	R00350	CC(=O)C(=O)O.C(C(=O)C(=O)O)C(=O)O
[OH-].C(C(=O)O)C(CC(=O)O)(C(=O)O)O	R00351	O.CC(=O)[O-].C(C(=O)C(=O)O)C(=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.[OH-].C(C(=O)O)C(CC(=O)O)(C(=O)O)O	R00352	OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.CC(=O)[O-].C(C(=O)C(=O)O)C(=O)O
CC(=O)C(=O)O.C(C(=O)O)C(=O)[O-]	R00353	CC(=O)[O-].C(C(=O)C(=O)O)C(=O)O
C(CC(=O)O)C(=O)C(=O)O.C([C@@H](C(=O)O)N)C(=O)O	R00355	C(CC(=O)O)[C@@H](C(=O)O)N.C(C(=O)C(=O)O)C(=O)O
O.O=O.C([C@@H](C(=O)O)N)C(=O)O	R00357	OO.N.C(C(=O)C(=O)O)C(=O)O
O.O=O.C([C@H](C(=O)O)N)C(=O)O	R00359	OO.N.C(C(=O)C(=O)O)C(=O)O
O=O.C([C@@H](C(=O)O)O)C(=O)O	R00360	OO.C(C(=O)C(=O)O)C(=O)O
C(C(=O)O)C(CC(=O)O)(C(=O)O)O	R00362	CC(=O)O.C(C(=O)C(=O)O)C(=O)O
C(C(=O)C(=O)O)C(=O)O	R00363	C(=C(\C(=O)O)/O)/C(=O)O
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(C(=O)O)N	R00365	[H+].N.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C(=O)C(=O)O
O.O=O.C(C(=O)O)N	R00366	OO.N.C(=O)C(=O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C(C(=O)O)N	R00367	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CNCC(=O)O
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C[C@H](C(=O)O)NCC(=O)O	R00368	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC(=O)C(=O)O.C(C(=O)O)N
C[C@@H](C(=O)O)N.C(=O)C(=O)O	R00369	CC(=O)C(=O)O.C(C(=O)O)N
CC(=O)[O-].C(C(=O)O)N	R00371	[OH-].CC(=O)[C@@H](C(=O)O)N
C(CC(=O)O)C(=O)C(=O)O.C(C(=O)O)N	R00372	C(CC(=O)O)[C@@H](C(=O)O)N.C(=O)C(=O)O
C(C(=O)C(=O)O)C(=O)O.C(C(=O)O)N	R00373	C([C@@H](C(=O)O)N)C(=O)O.C(=O)C(=O)O
O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C[C@@H](C(=O)O)N	R00396	[H+].N.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC(=O)C(=O)O
C([C@@H](C(=O)O)N)C(=O)O	R00397	C(=O)=O.C[C@@H](C(=O)O)N
