bt	direction	reaction	envipath_url
2218	f	2579	R04608
2173	f	2580	R04609
4013	f	2581	R04611
4141	f	2585	R04620
3673	f	2587	R04623
4141	f	2588	R04638
3564	f	2594	R04666
3938	f	2598	R04674
3673	f	2599	R04681
3673	f	2600	R04682
3938	f	2603	R04687
3938	f	2604	R04688
3673	f	2608	R04697
3673	f	2623	R04737
3673	f	2625	R04739
3673	f	2627	R04741
3673	f	2629	R04743
3673	f	2631	R04745
3673	f	2634	R04748
3673	f	2638	R04758
4141	f	2649	R04780
2218	f	2653	R04785
2173	f	2656	R04791
2173	f	2657	R04792
2173	f	2658	R04794
3568	f	2661	R04805
3859	f	2662	R04809
3673	f	2663	R04810
3673	f	2665	R04812
3673	f	2668	R04818
3673	f	2669	R04819
3673	f	2671	R04824
3673	f	2672	R04825
3673	f	2673	R04829
3673	f	2675	R04831
3673	f	2676	R04832
3673	f	2677	R04833
3673	f	2678	R04834
3673	f	2679	R04835
3673	f	2680	R04836
3673	f	2681	R04837
3673	f	2682	R04838
3673	f	2683	R04840
3673	f	2684	R04842
3673	f	2685	R04843
3673	f	2686	R04844
3673	f	2687	R04845
3673	f	2688	R04846
3673	f	2689	R04847
3564	f	2690	R04857
3673	f	2692	R04862
3568	f	2696	R04880
1196	f	2702	R04888
1196	f	2703	R04889
3938	f	2704	R04890
1196	f	2705	R04891
1196	f	2706	R04892
3938	f	2707	R04893
3938	f	2708	R04894
3858	f	2709	R04895
3673	f	2711	R04901
1196	f	2712	R04903
1196	f	2713	R04904
1129	f	2719	R04910
4013	f	2720	R04911
3907	f	2720	R04911
1196	f	2722	R04916
1196	f	2723	R04917
3568	f	2724	R04919
4215	f	2736	R04980
3151	f	2740	R04986
4215	f	2741	R04987
1196	f	2746	R04996
3673	f	2753	R05038
4013	f	2755	R05046
3907	f	2755	R05046
1196	f	2757	R05049
1196	f	2758	R05050
4013	f	2762	R05055
3943	f	2764	R05063
3568	f	2766	R05066
3673	f	2767	R05068
4141	f	2776	R05086
3501	f	2777	R05087
1196	f	2780	R05099
3673	f	2783	R05124
4141	f	2788	R05135
4215	f	2796	R05154
4171	f	2798	R05156
4013	f	2804	R05168
3564	f	2806	R05170
3664	f	2807	R05171
4141	f	2814	R05202
3568	f	2831	R05231
3568	f	2832	R05233
3568	f	2833	R05234
1196	f	2834	R05235
1196	f	2836	R05237
1196	f	2837	R05238
4312	f	2838	R05239
3670	f	2838	R05239
2690.1	f	2838	R05239
3667	f	2838	R05239
3670	f	2839	R05240
2690.1	f	2839	R05240
3667	f	2839	R05240
4312	f	2840	R05241
3670	f	2840	R05241
2690.1	f	2840	R05241
3667	f	2840	R05241
1877	f	2841	R05243
3557	f	2842	R05244
3707	f	2847	R05249
470	f	2856	R05265
3568	f	2857	R05271
1196	f	2858	R05272
3854	f	2860	R05274
3670	f	2861	R05275
2690.1	f	2861	R05275
3667	f	2861	R05275
4224.1	f	2864	R05278
4171	f	2865	R05279
3571	f	2867	R05281
3568	f	2868	R05282
3568	f	2869	R05283
2833	f	2870	R05284
1196	f	2871	R05286
2833	f	2872	R05287
1196	f	2873	R05289
4173	f	2878	R05294
3858	f	2881	R05297
3673	f	2886	R05305
3469.1	f	2889	R05309
2685	f	2889	R05309
2690.3	f	2890	R05310
2690.2	f	2890	R05310
2690.3	f	2892	R05312
2690.2	f	2892	R05312
4312	f	2893	R05313
3670	f	2893	R05313
2690.1	f	2893	R05313
3667	f	2893	R05313
3673	f	2895	R05315
3938	f	2905	R05334
3568	f	2910	R05347
3568	f	2911	R05348
3673	f	2912	R05349
3673	f	2913	R05350
3640	f	2915	R05352
3673	f	2915	R05352
1196	f	2916	R05353
4312	f	2917	R05354
3670	f	2917	R05354
2690.1	f	2917	R05354
3667	f	2917	R05354
3674	f	2918	R05355
4013	f	2919	R05356
4292	f	2921	R05358
2218	f	2924	R05361
3769	f	2926	R05363
2833	f	2930	R05367
2833	f	2931	R05368
3573	f	2936	R05373
3151	f	2938	R05375
899	f	2947	R05384
899	f	2948	R05385
1871.1	f	2952	R05389
