auto_transient	compound	isproduct	rclass	reaction	stoichn	stoichn_corr
False	C00001	False	False	R00208	1	1
False	C00022	True	True	R00208	1	1
False	C00009	True	False	R00208	1	1
False	C00022	False	True	R00210	1	1
False	C00010	False	True	R00210	1	1
False	C00006	False	True	R00210	1	1
False	C00024	True	True	R00210	1	1
False	C00011	True	False	R00210	1	1
False	C00005	True	True	R00210	1	1
False	C00080	True	False	R00210	1	1
False	C00022	False	True	R00211	1	1
False	C00010	False	True	R00211	1	1
False	C00007	False	True	R00211	1	1
False	C00027	True	True	R00211	1	1
False	C00024	True	True	R00211	1	1
False	C00011	True	False	R00211	1	1
False	C00024	False	True	R00212	1	1
False	C00058	False	True	R00212	1	1
False	C00010	True	True	R00212	1	1
False	C00022	True	True	R00212	1	1
False	C03015	False	True	R00213	1	1
False	C00001	False	False	R00213	1	1
False	C00022	True	True	R00213	1	1
False	C00014	True	False	R00213	2	2
False	C00011	True	False	R00213	1	1
False	C00149	False	True	R00214	1	1
False	C00003	False	True	R00214	1	1
False	C00022	True	True	R00214	1	1
False	C00011	True	False	R00214	1	1
False	C00004	True	True	R00214	1	1
False	C00080	True	False	R00214	1	1
False	C00497	False	True	R00215	1	1
False	C00003	False	True	R00215	1	1
False	C00022	True	True	R00215	1	1
False	C00011	True	False	R00215	1	1
False	C00004	True	True	R00215	1	1
False	C00080	True	False	R00215	1	1
False	C00149	False	True	R00216	1	1
False	C00006	False	True	R00216	1	1
False	C00022	True	True	R00216	1	1
False	C00011	True	False	R00216	1	1
False	C00005	True	True	R00216	1	1
False	C00080	True	False	R00216	1	1
False	C03248	False	True	R00218	1	1
False	C00001	False	False	R00218	1	1
False	C00022	True	True	R00218	1	1
False	C00011	True	False	R00218	1	1
False	C00022	False	True	R00219	1	1
False	C00011	False	False	R00219	1	1
False	C03981	True	True	R00219	1	1
False	C00065	False	True	R00220	1	1
False	C00022	True	True	R00220	1	1
False	C00014	True	False	R00220	1	1
False	C00740	False	True	R00221	1	1
False	C00022	True	True	R00221	1	1
False	C00014	True	False	R00221	1	1
False	C00716	False	True	R00223	1	1
False	C00022	True	True	R00223	1	1
False	C00014	True	False	R00223	1	1
False	C00022	False	True	R00224	1	1
False	C00084	True	True	R00224	1	1
False	C00011	True	False	R00224	1	1
False	C06010	False	True	R00226	1	1
False	C00011	False	False	R00226	1	1
False	C00022	True	True	R00226	2	2
False	C00024	False	True	R00227	1	1
False	C00001	False	False	R00227	1	1
False	C00010	True	True	R00227	1	1
False	C00033	True	True	R00227	1	1
False	C00084	False	True	R00228	1	1
False	C00010	False	True	R00228	1	1
False	C00003	False	True	R00228	1	1
False	C00024	True	True	R00228	1	1
False	C00004	True	True	R00228	1	1
False	C00080	True	False	R00228	1	1
False	C00002	False	True	R00229	1	1
False	C00033	False	True	R00229	1	1
False	C00010	False	True	R00229	1	1
False	C00008	True	True	R00229	1	1
False	C00024	True	True	R00229	1	1
False	C00009	True	False	R00229	1	1
False	C00024	False	True	R00230	1	1
False	C00009	False	False	R00230	1	1
False	C00010	True	True	R00230	1	1
False	C00227	True	True	R00230	1	1
False	C00083	False	True	R00233	1	1
False	C00024	True	True	R00233	1	1
False	C00011	True	False	R00233	1	1
False	C00002	False	False	R00235	1	1
False	C00033	False	True	R00235	1	1
False	C00010	False	True	R00235	1	1
False	C00020	True	False	R00235	1	1
False	C00013	True	False	R00235	1	1
False	C00024	True	True	R00235	1	1
False	C05993	False	True	R00236	1	1
False	C00010	False	True	R00236	1	1
False	C00020	True	True	R00236	1	1
False	C00024	True	True	R00236	1	1
False	C01011	False	True	R00237	1	1
False	C00024	True	True	R00237	1	1
False	C00022	True	True	R00237	1	1
False	C00024	False	True	R00238	2	2
False	C00010	True	True	R00238	1	1
False	C00332	True	True	R00238	1	1
False	C00002	False	True	R00239	1	1
False	C00025	False	True	R00239	1	1
False	C00008	True	True	R00239	1	1
False	C03287	True	True	R00239	1	1
False	C00025	False	True	R00243	1	1
False	C00003	False	True	R00243	1	1
False	C00001	False	False	R00243	1	1
False	C00026	True	True	R00243	1	1
False	C00014	True	True	R00243	1	1
False	C00004	True	True	R00243	1	1
False	C00080	True	False	R00243	1	1
False	C01165	False	True	R00245	1	1
False	C00003	False	True	R00245	1	1
False	C00001	False	False	R00245	1	1
False	C00025	True	True	R00245	1	1
False	C00004	True	True	R00245	1	1
False	C00080	True	False	R00245	1	1
False	C00025	False	True	R00248	1	1
False	C00006	False	True	R00248	1	1
False	C00001	False	False	R00248	1	1
False	C00026	True	True	R00248	1	1
False	C00014	True	True	R00248	1	1
False	C00005	True	True	R00248	1	1
False	C00080	True	False	R00248	1	1
False	C00025	False	True	R00250	1	1
False	C00007	False	True	R00250	1	1
False	C00001	False	False	R00250	1	1
False	C00026	True	True	R00250	1	1
False	C00014	True	True	R00250	1	1
False	C00027	True	True	R00250	1	1
False	C00002	False	True	R00251	1	1
False	C01879	False	True	R00251	1	1
False	C00001	False	False	R00251	2	2
False	C00008	True	True	R00251	1	1
False	C00009	True	False	R00251	1	1
False	C00025	True	True	R00251	1	1
False	C00002	False	True	R00253	1	1
False	C00025	False	True	R00253	1	1
False	C00014	False	True	R00253	1	1
False	C00008	True	True	R00253	1	1
False	C00009	True	False	R00253	1	1
False	C00064	True	True	R00253	1	1
False	C00025	False	True	R00254	1	1
False	C00014	False	False	R00254	1	1
False	C00011	False	False	R00254	1	1
False	C05829	True	True	R00254	1	1
False	C00001	True	False	R00254	1	1
False	C00002	False	False	R00257	1	1
