bt	direction	reaction	envipath_url
3674	f	524	5a31e2a4-3437-4aa6-bb7a-8a93bd061bab
2552	f	525	5a832c21-91e1-4a9b-bfb7-46b4ab3bde4a
3674	f	526	5ab37684-12f3-471e-b27b-8dd2fc060142
4167	f	527	5ae00690-4985-46ee-a241-52fdd8b08a15
3564	f	528	5ae50949-aa70-434c-90c0-8f8e18c49918
3673	f	529	5b00d68f-c942-4b61-a924-1d8ee0b419e6
4170	f	530	5b6621a8-e7b8-4b9b-bd6e-96bc64b36cda
2833	f	532	5b6c0c93-0349-4163-97eb-41967883dcb7
232	f	534	5b8b93a1-3be7-4dc9-94e5-145dc0c4f265
4173	f	536	5b907d3a-a89b-4cd7-9869-25bd9e7ffd40
4173	f	539	5c45433e-f6f0-4409-83a8-4780c35c2da9
3674	f	540	5c932def-ef54-4394-a4e3-338da43b96cc
899	f	542	5d1851fc-787a-43ce-b613-f1192595e0a5
3151	f	543	5d2d0562-a154-4461-9595-0c6ce83a2bcd
2798	f	543	5d2d0562-a154-4461-9595-0c6ce83a2bcd
2218	f	544	5d5a1a40-b6df-4ace-a4ea-ab2699788b3b
4255	f	545	5d7033cf-895b-4014-8ce7-18484802ae9b
3190	f	546	5d960cca-17c6-4edd-a8ef-c0b854efa045
2173	f	547	5dc67920-5c87-4f78-bc3b-9ca06c19f398
1206	f	549	5dfb7573-d5ef-46ae-a81a-a082a5232ac1
3805	f	550	5e0cffa4-aef3-4514-9d3a-4f3ddad0524b
3093	f	552	5e71e8c3-bb3e-4d05-8806-04674626fd64
2748	f	553	5e795b60-9e44-4f5d-9db2-e15002729d52
1196	f	555	5edd6d3d-5e57-48ee-a933-65ba46de91a0
3545	f	557	5f4560a4-02d1-4000-8866-da577d4b5e02
3568	f	559	5fc309ee-9df8-440e-babc-9642f6b9c4f0
3855.4	f	562	60329bbe-9d0d-4f91-b54c-ed040c0244db
3411	f	566	60c079ec-0026-4185-9914-fd60ef0a1614
3571	f	569	613cf913-49a0-4c75-9405-895e96fc3ca4
3469.1	f	573	61aa540a-9fa1-4cd3-ace3-d7dcd0b6cecf
2685	f	573	61aa540a-9fa1-4cd3-ace3-d7dcd0b6cecf
3687	f	576	620f4a32-77e5-46cd-9a25-5c8153ba5286
2844	f	578	6247a639-ed40-44c3-ac83-c1565c47d816
3151	f	579	626ee432-8e8c-4042-9542-ecfcaa81db99
3501	f	581	62a3f91b-4bc8-4076-b7f3-4d178352e1c4
3938	f	582	62f4335a-cf24-495f-a760-c93ae2f2dfb1
3573	f	585	63241f88-c0a1-436d-8bd6-c5a1ee281b27
